Nombre;Descripcion;Categoria;Etiquetas;Precio;URL FOTO
Shampoo Savital Keratina ;Botella x 550 ml;Cuidado Personal;Shampoo;14600;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3401415-1000-1000/7702006299107.jpg?v=636893222634070000
Shampoo Savital Colageno;Botella x 550 ml;Cuidado Personal;Shampoo;14600;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3401410-1000-1000/7702006299565.jpg?v=636893222629370000
Shampoo Savital Multivitaminas;Botella x 550 ml;Cuidado Personal;Shampoo;14600;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3377767-1000-1000/7702006202930-.jpg?v=636822038462830000
Shampoo Savital Aceite de Argan ;Botella x 550 ml;Cuidado Personal;Shampoo;14600;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503481-1000-1000/7702006299305.jpg?v=637249840033100000
Shampoo Savital Multio Oleo;Botella x 550 ml;Cuidado Personal;Shampoo;14600;https://metrocolombiafood.vteximg.com.br/arquivos/ids/285272-1000-1000/7702006205931.jpg?v=637360487099530000
Shampoo Savital Anticaspa;Sobre x 350 ml;Cuidado Personal;Shampoo;10800;
Shampoo Savital Biotina ;Sobre x 350 ml;Cuidado Personal;Shampoo;10800;https://unidrogas.vteximg.com.br/arquivos/ids/366324-1000-1000/7702354937386.jpg?v=637376146704530000
Shampoo Savital Keratina ;Sobre x 350 ml;Cuidado Personal;Shampoo;10800;
Shampoo Savital Colageno;Sobre x 350 ml;Cuidado Personal;Shampoo;10800;
Shampoo Savital Multivitaminas;Sobre x 350 ml;Cuidado Personal;Shampoo;10800;https://pasteur.vteximg.com.br/arquivos/ids/175998-1000-1000/Cuidado-Personal-Cuidado-del-Cabello_Savital_Pasteur_092330_doypack_1.jpg?v=636786595970900000
Shampoo Savital Aceite de Argan ;Sobre x 350 ml;Cuidado Personal;Shampoo;10800;https://www.toccmarket.com/image/cache/catalog/CUIDADO%20PERSONAL/Sampoo%20Savital%20con%20Aceite%20de%20Arga%CC%81n%20y%20Sa%CC%81bila%20x%20179ml-1000x798.jpg
